Node,SimClock,CoordX,CoordY,waitTime,clusterHeight,avgCluster, avgNodesPerCluster, FreeBufferSpacePercent, reward, iteration
w108,96488.30000112847,2661.2646082156193,1977.8031897843905,2200.0,0.9,1.81578947368421,1.241228070175439,91.05668,-1.0,38
c60,96490.70000112861,3204.973519714659,2158.1219128442913,2300.0,0.8,1.8888888888888888,1.1222222222222225,58.57632,0.7372211200000001,45
c51,96512.30000112987,1512.3236793722324,795.14053452152,1700.0,0.55,1.8823529411764708,1.137254901960785,62.72154,0.8035446400000001,51
p31,96537.20000113132,3493.6199456453332,1242.9538330462703,1800.0,1.25,1.8723404255319147,1.1276595744680853,64.313,0.829008,47
c62,96552.80000113223,2054.464662819014,1601.967571310276,2100.0,1.15,1.7441860465116275,1.2558139534883725,77.0733,0.834136,43
c58,96555.60000113239,3911.2294891105585,1427.1412760219018,2500.0,0.8500000000000001,1.840909090909091,1.1931818181818181,58.419259999999994,0.73470816,44
w113,96564.3000011329,3110.267884453166,1805.1394590735467,1300.0,1.1,1.7636363636363632,1.287878787878788,67.42688,0.8788300800000002,55
w107,96564.4000011329,1422.8750990830586,1402.3300530871982,2700.0,1.15,1.7249999999999999,1.3,77.98564,0.7611488,40
p24,96564.90000113293,1566.1972730759844,347.4034907724124,2200.0,0.8500000000000001,1.880952380952381,1.1547619047619047,94.81842,-1.0,42
w148,96567.90000113311,2024.011778506037,1507.4371265398997,2100.0,0.95,1.7560975609756098,1.25609756097561,53.6222,0.6579552,41
c59,96579.60000113379,2305.983869229839,2036.7641836048806,1800.0,0.8,1.8571428571428568,1.153061224489796,81.42631999999999,0.48589440000000117,49
w147,96596.30000113476,3625.351290545828,1249.340932961669,2100.0,0.8500000000000001,1.8604651162790693,1.2093023255813953,69.79988,0.9167980800000002,43
w131,96599.30000113494,3175.267010964604,1000.2677935722318,2000.0,0.8500000000000001,1.9999999999999998,1.058139534883721,56.43906,0.20302496000000003,43
c63,96599.80000113496,1255.7068650603585,1708.5651018571293,1700.0,0.75,1.8297872340425534,1.1702127659574466,92.07852,-1.0,47
c96,96607.70000113542,2511.631909479983,1561.196364025101,2100.0,0.9,1.844444444444444,1.177777777777778,95.3319,-1.0,45
p47,96608.20000113545,1164.4392162410795,1470.5695523241584,2000.0,0.9,1.8837209302325582,1.1395348837209303,47.72594,0.56361504,43
p41,96609.70000113554,1456.7618447027266,1266.800712482183,2400.0,0.95,1.9047619047619047,1.107142857142857,70.23838,0.9238140800000003,42
p5,96612.70000113572,1616.7573921149406,1251.7925913315746,2100.0,1.1,1.7906976744186045,1.232558139534884,75.16351999999999,0.9869184000000004,43
p42,96614.1000011358,3019.371269912411,2033.1615462216434,2000.0,1.25,1.7446808510638294,1.2553191489361706,52.756060000000005,0.6440969600000002,47
w138,96614.1000011358,1857.055245678827,2302.3605432345616,2300.0,1.05,1.9,1.1,33.08654,-0.17061536000000005,40
c92,96628.90000113666,2312.6037898349355,813.9126904305489,2200.0,0.9,1.8604651162790697,1.1627906976744187,76.6237,0.8701040000000004,43
w136,96634.00000113696,2543.6812154861977,1602.0033307527322,1800.0,0.8500000000000001,1.9183673469387756,1.1326530612244903,97.9311,-1.0,49
p17,96635.20000113703,2545.742612287449,1862.8269804723775,2300.0,1.0,1.9024390243902438,1.0975609756097562,60.91662,0.2746659200000001,41
w111,96643.80000113753,2139.9384577916935,2545.9511160468683,2100.0,1.05,1.7916666666666665,1.2083333333333335,60.896499999999996,0.7743439999999999,48
p30,96701.90000114091,2694.367172468119,869.0198036047839,2300.0,0.75,1.8095238095238095,1.2261904761904763,96.21366,-1.0,42
c88,96701.90000114091,2214.376203338085,1033.5716400172103,2500.0,0.9,1.902439024390244,1.134146341463415,66.54394,0.8647030400000002,41
w117,96703.00000114097,2493.48550437704,1138.4352270459153,2100.0,0.9,1.8863636363636362,1.1136363636363638,52.7124,0.6433984000000001,44
p6,96704.20000114104,475.5826773414352,1524.997077263948,1600.0,0.7,1.846153846153846,1.173076923076923,60.97152,0.7755443200000001,52
w119,96720.30000114198,1019.0477722430614,848.3208316782458,1900.0,1.05,1.738095238095238,1.2738095238095242,83.72728000000001,0.3018175999999997,42
w125,96720.50000114199,1999.1186208799522,1119.7644932925114,2200.0,1.05,1.8780487804878048,1.1219512195121952,93.46168,-1.0,41
w102,96720.700001142,1429.023080547786,734.7157596477332,2000.0,0.8500000000000001,1.8043478260869568,1.2173913043478264,77.28158,0.8174735999999996,46
p15,96724.80000114224,2282.5975815647107,1136.2372565368682,1300.0,0.9,1.942307692307692,1.0673076923076925,98.8158,-1.5,52
w124,96737.60000114299,1785.8529011538474,742.6060940141406,2600.0,0.8500000000000001,1.8461538461538458,1.1794871794871802,55.92508000000001,0.6948012800000001,39
w141,96742.60000114328,3303.318249071877,1114.057964824458,1600.0,1.1,1.7884615384615385,1.2307692307692308,90.16394,-1.0,52
p45,96757.90000114417,161.89362898690186,1676.3412597264364,2000.0,1.0,1.9069767441860466,1.116279069767442,25.286839999999998,0.20458944,43
w103,96766.20000114465,1252.0095949912075,1769.1635405735378,2200.0,1.25,1.8157894736842102,1.3026315789473686,85.06366,0.19490720000000028,38
c94,96778.50000114537,2273.6699654815307,1998.2205796658445,1200.0,1.1,1.7499999999999996,1.2867647058823535,97.04926,-1.0,68
w145,96795.10000114633,3318.2760491531885,1123.5508304799953,2300.0,0.8500000000000001,1.8333333333333335,1.2142857142857149,82.25584,0.4195327999999998,42
p19,96801.70000114672,2652.996603868086,1873.8295770504062,2100.0,0.8500000000000001,1.7959183673469392,1.2346938775510206,99.51474,-1.0,49
